"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2008","2008",5574400,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2009","2009",5556800,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2010","2010",5871000,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2011","2011",5871700,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2012","2012",6166500,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2013","2013",6481100,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2014","2014",6921700,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2015","2015",7449200,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2016","2016",8268900,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2017","2017",8815300,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2018","2018",9245600,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",9465900,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",1827700,,
"AUS","Australia","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",246200,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2008","2008",354300,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2009","2009",362600,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2010","2010",451800,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2011","2011",540500,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2012","2012",628000,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2013","2013",720700,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2014","2014",851000,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2015","2015",1031900,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2016","2016",1208300,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2017","2017",1356900,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2018","2018",1432200,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2019","2019",1438700,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2020","2020",207700,,
"AUS","Australia","CHN","China","DEMAND","Tourism demand surveys","2021","2021",6500,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2008","2008",696200,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2009","2009",684600,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2010","2010",673400,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2011","2011",637300,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2012","2012",625800,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2013","2013",668100,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2014","2014",657200,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2015","2015",688100,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2016","2016",715500,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2017","2017",732900,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2018","2018",733000,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2019","2019",715800,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2020","2020",200800,,
"AUS","Australia","GBR","United Kingdom","DEMAND","Tourism demand surveys","2021","2021",21900,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2008","2008",455600,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2009","2009",354000,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2010","2010",396400,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2011","2011",332200,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2012","2012",352600,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2013","2013",330800,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2014","2014",333700,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2015","2015",342000,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2016","2016",417900,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2017","2017",434500,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2018","2018",469200,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2019","2019",498600,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2020","2020",91700,,
"AUS","Australia","JPN","Japan","DEMAND","Tourism demand surveys","2021","2021",1900,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2008","2008",1104600,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2009","2009",1099800,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2010","2010",1150200,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2011","2011",1166800,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2012","2012",1193100,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2013","2013",1201200,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2014","2014",1244700,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2015","2015",1311800,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2016","2016",1345200,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2017","2017",1359500,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2018","2018",1384900,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2019","2019",1433800,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2020","2020",242500,,
"AUS","Australia","NZL","New Zealand","DEMAND","Tourism demand surveys","2021","2021",96700,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2008","2008",462800,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2009","2009",484300,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2010","2010",479300,,
"AUS","Australia","USA","United States","DEMAND","Tourism demand surveys","2011","2011",469200,,
